sentence,payment_label
Can you please have someone go and check this vehicle still there at 1972 Hostetter Rd San Jose Ca 95131 is a blue Chevy pick up with license plates 6C24994.,0.0
"In this year 2019 all we the officials in the former Gaddafi government are being arrested, persecuted and imprisoned by the new wicked government.",0.0
My name is Mr. John Brooks A Financial Consultant.,0.0
Once on the ParentConnectPortal you will find instructions in text and video on how to complete the annual update process.,0.0
I believe the lack of success will make these perpetrators more brazen and within the next 2 years a,0.0
"Hope all is going well with your 1st Birthday Party on December 12, 2019.",0.0
sensitive voicemail message are encrypted and password protected before been viewed or accessed for security purposes.,0.0
accordance with directives from the U.S Government is,0.0
Any questions please respond to this email so we are all on the same page.,0.0
the Ministry for more than {2decades},0.0
"U-verse TV, Internet and Phone",0.0
Colliers International is pleased to provide you with our updated monthly Exclusive Property Summaries for July 2019.,1.0
VISA (Ending in 1828),1.0
A file has been shared using Link Sharing.,0.0
Please do not reply to this email.This automailbox is not monitored and you will not receive sjpdonlinereports@sanjoseca.gov response.,0.0
United States; Pacific time (GMT-7:00) [DST],0.0
I am hoping that you will be able to use the money wisely and judiciously over there in your country.,1.0
I have a good news for you concern what The new president of Economic,0.0
Is there anyone else who might be able to use the ticket?,0.0
I have attached a letter that,0.0
I believe it will interest you.,0.0
8:46 AM (25 minutes ago),0.0
Please quote your best prices on FOB as attached on the two order as we propose MAY for this order,0.0
"If you could answer a couple questions before it ships tomorrow, I would greatly appreciate it.",0.0
Thanks for you assistance and we will do all possible to correct the violations ASAP.,0.0
home robber's in San Jose and why do they go unsolved?,0.0
"200 East Santa Clara Street, 3rd Floor Tower",0.0
I will wait for your response.,0.0
Here are the details of your order.,0.0
"we connecting with a private investor/direct lenders from Africa trying to expand international portfolio globally, and they are available to lend/fund a reliable project after receiving and studying business plan of that project.",1.0
notice to provide his next-of-kin within 7 days or have his funds,1.0
USAA Federal Savings Bank,1.0
"If you are applying for the same program for which you were previously awarded, you will only need to complete your Enrollment Plan with your AthLife advisor and upload the form to the online application.",0.0
"Time: 9:00AM, October 28, 2019",0.0
I look forward to hearing soon from you.,0.0
"For a full and complete ""real time"" information on this job and all other jobs and reports login to our website at the following link:",0.0
690 E Mission St,0.0
Please refund the plan the balance due within 10 days from the date of this notice.,1.0
"Thank you for your purchase order, which has been processed.",0.0
Since his death I decided not to remarry or get a child outside my matrimonial home which the Bible is against.,0.0
"If this email is incorrect, you can update it once you login to the Grantee Portal.",0.0
and has been dormant for some years now.,0.0
The following is a description of the order:,0.0
"City of San Jose, California",0.0
So sorry for the late response!,0.0
Your narrative indicates knowledge of suspect information and therefore can not be accepted online.,0.0
"If you placed this order, print your shipping label using the link below or from Your Orders in the Amazon app or website.",0.0
Click on the overflow menu (three vertical dots) on the right hand side of your Google for Work subscription.,0.0
Are you at your desk ? i need you to initiate a wire transfer to a new,1.0
I know that I am going to be in the bosom of the Lord.,0.0
You can email customer service directly at: cservice@jnwglobal.com or call toll free 888-632-0092,0.0
When my late husband was alive he deposited the sum of $3.7M Three Million Seven Hundred Thousand United State Dollars in a Bank.,1.0
proceeds of the sale is deposited into his local account here.,1.0
"$SMTPClient = New-Object Net.Mail.SmtpClient($SmtpServer, 587)",0.0
We think this tree is a hazard to the public that walks by.,0.0
Thank you for your business - we appreciate it very much.,0.0
"Southern African, East Africa and some parts of Asia.",0.0
"To access and download all the depositions related to the case, log in to",1.0
An Amendment (“Amendment”) updating the 2010 MSC is attached hereto for your review.,0.0
"Any disclosure, copying, distribution or the taking of any action concerning the contents of this communication or any attachments by anyone other than the named recipient is strictly prohibited.",0.0
Notice of Confidentiality: **This E-mail and any of its attachments may contain,0.0
I created both credentials to be sent in tomorrow’s mail.,0.0
I'd be happy to put you in touch with the property manager if necessary.,0.0
The status of order #868098 is now,0.0
"If you have questions about your order, just reply to this email.",0.0
"to view your proceedings calendar, download your transcripts, pay invoices or schedule proceedings.",1.0
At this time in my life I am not interested in working for S.J.P.D. but I appreciate the opportunity I have received to apply with your department.,0.0
Information about this Food Safety Alert is also available by dialing 1-800-919-5439.,0.0
Chains of Command for WMS topics you can use today,0.0
Thank you so very much for your help.,0.0
"NFL Women's Touch Short-Sleeve V-Neck T-Shirt w ith Sequins /Broncos, XX-Large",0.0
255 Pennbright Dr. Ste.,0.0
Please note in the attached report that sensitive information has,0.0
so please do not go over this amount.,1.0
"Thanks and best regards,",0.0
"If you require further assistance, please contact us at",0.0
I would like to report an illegal dumping activity on my private property.,0.0
Please reply that you have received the fax and if not send me the mailing information so I can place the package in the mail.,0.0
"You are advice to select from the options below, the means by which you will like to receive your Compensation Fund:",1.0
This link will take you to a secure web form where you can enter or update your contact information.,0.0
"Finally, the recipient should check this email and any attachments for the presence of viruses.",0.0
Please follow the instructions provided on the form to ensure timely processing.,0.0
The City of San Jose,0.0
Raffle draw is held to select those who will receive the donation.,0.0
If you still have not received the product you purchased please contact us in time.,0.0
"1,000 MW greenfield solar PVProject",0.0
International Bank here in London.,1.0
Thanks for Your Co-operation.,0.0
Vice President - General Manager,0.0
"8) AGE, AND MARITAL STATUS:...............",0.0
The mailing address of the inspection notice for 309 N. 5th street San Jose iswrong.,0.0
Please let me know if you have any questions.,0.0
"If you have received the message in error, please notify the sender and immediately delete the message.",0.0
Haven't received your package yet?,0.0
"Otherwise I can also give you a call so we can expedite this process, let me know how I can best help you expedite this process.",0.0
"There’s an option to attach photos and tag the location of the incident, thus helping City crews respond to the request.",0.0
"We are looking for Goldbuyers and mandates to buy or market our gold nuggets, Dore bars.",1.0
Client Portal account will expire in 14 days.,0.0
"I crave your indulgence as a God fearing individual that equally has high moral pedestal and who is also an uncommon humanitarian that cares so much about the plight of the less-privileged as much as i do, to take it upon yourself and use this fund for the above mentioned purposes.",1.0
My system automatically recognizes the translation.,0.0
Steps to become a PSP,0.0
Please let me know what the best time I would reach you.,0.0
"transfer the amount of $916 to my bitcoin address (if you do not know how to do this, write to Google: ""Buy Bitcoin"").",1.0
Compensated to you and that of other scammed Victims based on,0.0
Can you please help me out to get an appointment with City of San Jose doctor.,0.0
"One short request ... Good to hear from you Dan , how are you ? On my way to a program now , and i ca nt be chance to get to store at the moment",0.0
Kindly confirm via return email if your office is open to possible representation regarding breach of contract.,0.0
"City Auditor’s Office, Tower 14",0.0
The envelopes shall be marked :,0.0
"On Tue, Dec 10, 2019 at 3:33 PM Sinde Torres - Orange Coast Title Company <",0.0
This is a request under the Freedom of Information Act.,0.0
"Be rest assured that I will activate your daily installment account and post your first $7,000 USD for you to pick-up today as soon as we receive the fee from you.",1.0
Thank you for your email and time.,0.0
invest in project-funds ranging from 1million USD to 900million USD.,1.0
Compass Bank is a Member FDIC and an Equal Housing Lender.,0.0
None of the information obtained will be sold or distributed for profit.,1.0
Here are a few details about what we will be renewing for you:,0.0
Next time update your browser before browsing the web.,0.0
hearing from you soon.,0.0
Which state is your license issued in?,0.0
The full amount will not be charged until the time of shipment.,1.0
"Omaha, NE 68175, US",0.0
"Copy and paste my address, it's (cAsE-sEnSEtiVE)",0.0
After that you'll need a new code to log in.,0.0
This sign in attempt was made on:,0.0
I still want to use this opportunity to inform you of showing,0.0
"Tuesday, November 3, 2015 at 07:49",0.0
"1737 N. First StreetSuite 600,",0.0
Here is your Verification Code:,0.0
( Sunday to Thursday ) UAE Time : 9.00 am to 5 pm,0.0
Give us the benefit of doubt on this.,0.0
I have all the documentation for this.,0.0
"If you don't renew by June 30th, there will be a $15 reinstatement fee applied to your dues when/if you rejoin.",1.0
We appreciate your assistance and wish you a wonderful weekend!,0.0
"P.O. Box 1726 | Decatur, Alabama 35602",0.0
Please note: This email was sent from a notification-only address that cannot accept incoming email.,0.0
I would be happy to send you a paper renewal form.,0.0
"To ensure you continue receiving our emails, please add us to your address book or safe list.",0.0
Then make sure we can resend to you ASAP.,0.0
Now that your ATM Master card is still available for you to pick it up,1.0
"tation of the expenses at a later date , let me know if you can",1.0
Commercial Real Estate Advisor,0.0
"We, Qui Van and Nancy Nguyen, owner of 2148 Story Road, San Jose, would like to follow up your Violation Notice dated 06-04-2019 has been passed by Fire Department yet?",0.0
What can I do?,0.0
"""Please forgive any auto correct blunders""",0.0
"P.S. I'm asking you - not to answer this letter because the sender's address is fake, just to keep me incognito.",0.0
living in East London.,0.0
Attached is the Wyoming Sales & Use Tax License Application Fee of $60.00 paid by E-Check from GLX BBVA account ending in 7741.,1.0
You must return the receipt documenting your fingerprint appointment to Human Resources prior to your start date.,0.0
Please destroy the check or return to me.,0.0
"To receive no further e-mails, please",0.0
"Beth Tidwell (Pinkston), MPA",0.0
7840 N Sam Houston Parkway West,0.0
"San Jose, California 95113",0.0
"If you need assistance with this survey, please send an email to",0.0
am thinking of relocating since I am now comfortable with my family.,0.0
"A copy of any Government Issued ID, (eg) International Passport, Driver's License or National ID Card.",0.0
Thank you for supporting our global effort,0.0
to enable me provide you more information about the investment funds.,1.0
I have since lost my,0.0
"Note: Don't share this code with anyone else, it won't work for them.",0.0
you must notdisclose or circulate this email or its content other than in accordance with any confidentiality arrangements between us.,0.0
"If you have received this e-mail in error, please immediately notify the sender by reply e-mail and delete this e-mail from your system without reading, forwarding, copying or saving in any manner.",0.0
"Hello, I was looking back on this to see if there was a number to call for updates and realized there’s no pdf attached.",0.0
agreementalong with the attached credit card payment form to us.,1.0
You can pay by phone by calling 408-535-3555 or by coming in to city hall.,1.0
"Because of Impostors, we hereby issued you our code of conduct, which is (ATM-7750) so you have to indicate this code when contacting the Card centre by using it as your subject.",1.0
San Jose CA 95129,0.0
Please note that some items are being withheld or redacted pursuant to the following statute: California Government Code § 6255,0.0
Paid by credit card,1.0
All other trademarks are properties of their respective owners.,0.0
Can I request an appointment next week any day from Monday to Wednesday,0.0
HERE ARE WHAT WE ARE GOING TO PURCHASE WITH THE RENTING PACKAGE:,1.0
"To become a PSP, you first must be Fingerprint Roller Certified and have your FPC number.",0.0
You have Three (3) Messages Pending Delivery On Your e-Mail Portal Since:26September 2019.,0.0
I came across your e-mail contact prior a private search while in need of,0.0
View your transaction details and paperwork in NetBenefits,1.0
so please confirm with me if this message is well received so that we can send you our company new bank account for the payment to you,1.0
What to expect from us:,0.0
Pictures of the trees:,0.0
Thank you for your partnership!,0.0
The Boston Market Catering Team,0.0
"My name is Nghia Pham, one of the owner at the violation address below.",0.0
"However, we would ask that you keep us informed as to any address changes you might have and to add ""Mutual of Omaha"" to your safe senders list so these emails are delivered successfully.",0.0
on what as been achieved in apprehendingany of the perpetrators who have been caughtfor robbing my homes?,0.0
Thank you for your attention to my request.,0.0
Sign up for special offers!,0.0
I thank you for your attention,0.0
Your bill for $ 373.75 was due Aug 2016,1.0
Cybersense can analyze your nightly backup for signs of a ransomware attack.,0.0
"DIRECTOR; INTL, CREDIT CONTROL OFFICE",0.0
A personal Business Proposal To: alex.niles@sanjoseca.gov,0.0
There is only one thing left to do and that is to call us at 234-248-2500.,0.0
We will be happy to invite you for face to face meeting with the Investor and our company representatives.,0.0
Your Reference Number is: [ WUF/WU2019/KHPP ],0.0
or sit on this money when it is finally transferred into your account.be rest assured that this transaction is 100% risk free.,1.0
I am excited to hopefully start soon!,0.0
Can you send me Scots Mackenzie’s contact info….,0.0
"Systems & Space, Inc.",0.0
our organization your overdue consignment fund was brought to our,1.0
Your account is current.,0.0
"My mom and I are not in San Jose for a few weeks, so we can't go to City Hall to retrieve the cash or to make the payment.",1.0
"At the time of the incident, they were smoking out on the street between two cars in front of 415 South Willard Avenue.",0.0
And henceforth be more careful!,0.0
Please close the file,0.0
Direct Line: (916) 229-6970 ext 104,0.0
Recommendations for items from across our store,0.0
"Andy Sagiarto sent Charles J. Drobny Jr. of GlobalLogix, Inc",0.0
The business has 3.6mn CHF of carry forward losses for tax purposes in the form of a shareholder loan which would be transferred on the sale of the GP.,1.0
"As an officer of the bank, I cannot be directly",1.0
This e-mail was sent in response to a request to recover your username.,0.0
"I also want to note that per the attached photos, you will see vehicle is also in violation of the Cal.",0.0
Once we get them we will mail them.,0.0
Tag Expiration: DEC 2019,0.0
"For claim actions, contact the SunTrust Bank CFO and Head of Commercial Banking:",1.0
"Your password is due to expire today Thursday, November 14, 2019",0.0
Please call me when you have the chance.,0.0
Wrong mailing address may cause a delay.,0.0
All liabilities of the Kuoni Group and its entities for any damages resulting from e-mail use are excluded.,0.0
I would also like to know the original fine amount of the citation.,1.0
"Compliment of the day,",0.0
. This offer of employment is contingent upon your clearance from the Department of Justice.,0.0
"CIP Procurement Manager, City of San Jose",0.0
"I am the Consultant Officer of a trusted investment company, specialized in raising capital for public or private owned companies through commercial loans and investment financing.",1.0
"I'm know that you would not like to show these screenshots to your friends, relatives or colleagues.",0.0
Please always be prayerful all through your life.,0.0
The delivery will be made to your location by Canada Post.,0.0
You can also call us at,0.0
Cooperation as soon as possible.,0.0
We will await your response.,0.0
Here are the information&#8217;s to confirm below;,0.0
"All the fire extinguisher tags in our school building have been renewed, coupled with the removal of the 2 gas tanks from the shed area.",0.0
Please let me know,0.0
Go to the request,0.0
"If you have any problems with activating your account or have further questions, just let us know.",0.0
"Dear officer, Thank you for your email and report copy.",0.0
Your Billing ID: 3768-8860-6425,0.0
Kindly code it to,0.0
This payment was intended for San Jose Water Co. I guess we sent it to the old utilities account by mistake.,1.0
Please review the payment information below and keep this email for your personal records.,1.0
Thank you for your business.,0.0
"After a detailed review of your file, the United Nations Monetary Unit has been authorized to release your fund immediately.",1.0
Branch Manager/Senior Escrow Officer,0.0
"Other electronic files (i.e. LEF, XMEF, SBF, MDB, CMS) are still being processed and will immediately be visible upon upload.",0.0
She struggles to get by every month.,0.0
"I have checked with the department that accepts all checks for Business Tax, and it is most likely sent back due lack of information since it must include all department numbers.",1.0
So how our deal is working?,0.0
"A few days ago I received your 6/9/2019 violation notice for Alum Rock United Methodist Church, 30 Kirk Ave., San Jose, CA 95127.",0.0
Your Urgent Reply Will Be Appreciated.,0.0
If payment is not submitted by,1.0
"I have a very strong CV, a good track record and excellent references.",0.0
"Friday, November 1, 2019 3:44 PM",0.0
Redemption by AT&T Reward Visa® Prepaid Card.,1.0
© Μicrosoft Tele Services for Sanjoseca.gov 2019.,0.0
and I have a proposal for you.,1.0
> ---------------------------------------- The information contained in this e-mail message is intended only for the personal and confidential use of the recipient(s) named above.,0.0
"Based on this personal discovery, I am contacting you now to let",0.0
Would it be possible for us to buy some Link Placements on your website?,0.0
Invoice # : INV-001495,0.0
had plans of having an orphanage home.,0.0
Thanks for your quick reply.,0.0
"you, for your own good and Security.",0.0
Please look into this matter asap as its scheduled to be removed tomorrow.,0.0
ACCOUNT DETAILS FOR ACH:,1.0
I just hacked this router and placed my malicious code on it.,0.0
To add supplemental information to an existing San Jose Police case number please call our TRAC service line Monday - Friday between 12:00p.m.,0.0
Thanks for choosing Coast Engraving!,0.0
I need you to understand That the remaining forms aren't attached and need to be served by,0.0
"As soon as the specified amount is received, all your data will be destroyed from my server, and the rootkit will be automatically removed from your system.",1.0
> 21 attachment : PURCHASE ORDER.exe 710 KB,1.0
contacting us through emails are fake.,0.0
through the Bank's Liaison Remittance Office in New York,1.0
"If you have any questions concerning your account, please send us an email at AR@huseby.com or give us a call at (800) 333-2082.",0.0
Let me know if you have any other questions.,0.0
"In closing, reconfirm your bank account information, address and phone number for effective communication.",1.0
"Once logged in, click the Users tab and provide the email address of others to share.",0.0
I am sorry for the inconvenience and thank you in advance for your help!,0.0
"Nevertheless, I have every reason to believe that you are a highly respected and trustworthy personality.",0.0
Government to handle all foreign contract debts.,1.0
She said that fund checks and phone,1.0
Paper forms are available at your child's school site.,0.0
"I arranged and lodged the cash as a foreign investor/contractor asset in securing location in Spain, and I am ready to share the cash 40/60, therefore, if you find it interested to make the deal with me, forward your information as follows; (1) Full name (2) Address (3) Telephone number and I will go to the office and officially prepare ownership document in your favor and forward the deposit institution for officially paying the cash for you without breach of law.",1.0
You will receive a response email from one of our Customer Service Representatives within5-7 business days,0.0
Realty World Premier Properties <,0.0
"use the money wisely, we only want to feel good by helping people this time of the year, this is the only thing that makes my wife happy too even now that she is not here with me anymore, we have too much to give away as I only have few months left on earth.",1.0
here in the United Kingdom.,0.0
Allstar Fire Equipment Inc.,0.0
He was killed shortly afterwards.,0.0
This is to advise that we were hired by Ms. Marilou Andrade to handle on her behalf the corrections of all violation as detailed in your letter.,0.0
I would like to know if you can process a wire transfer today ? Let me know so I can send you the bank details,1.0
this should be confidential my friend,1.0
The team at Officeworks would like to thank you for shopping with us,0.0
contacting you because you share the same last name with a,0.0
Please contact your Administrator.,0.0
of your hard earn currency.,1.0
Embedded videos featuring Q&A with executives,0.0
"Please describe your knowledge, experience level, and length of experience with the following",0.0
I will pass it to our accounting staff to first look into our bank statements record.,1.0
"Hello Officer, we have been able to locate the eyewitness and as soon as I get the phone number I will let you know.",0.0
Are you available to purchase eBay gift cards for me at any retail stores closer to you today ?,1.0
"virtue, accountability and honest which would bring trust in business.",0.0
Please send some one over to take care of the matter,0.0
"Friday, June 7, 2019 12:12 PM",0.0
"Yes, as long as it's not American Express.",0.0
"this huge amount of money, which may culminate into the investment of",1.0
"To view additional payment details, please log in to your Resident Portal account at:",1.0
Attached is a report for the fire inspection that I recently performed at your occupancy.,0.0
I wait to hear from you soonest.,0.0
assistance and inform him that your CASE FILE is 54AC003.,0.0
Thank you so much for your purchasing and we have got your payment.,1.0
The contents of this e-mail message and any attachments are confidential and are intended solely for addressee.,0.0
Director Express Courier Delivery Company,0.0
Please ignore this message if you are not interested or come on and ask me if you have any question.,0.0
"Around 40,000chf cost in total.",1.0
"Para todos los estudiantes de 6o a 12o grado, la información de emergencia deberá actualizarse en línea a través de ParentConnectPortal antes de que se les entregue el horario de clases para el 2019-20.",0.0
can't add a status report,0.0
"send across confirmation of payment to Kevin , the attorney working with us on this",1.0
"Chuck – I have queued up a wire for ComData for $14,639.36.",1.0
We have refunded your payment through PayPal.,1.0
your sister in the,0.0
Please inspect the contents of the shipment as soon as you receive it.,0.0
Kindly get back to me ASAP to let me know when to forward the wire instruction to you,0.0
Engineering Solutions Connecting Your World,0.0
-Will be invested in Commodity futures trading with a discretionary focus but also a strong appreciation for systematic models and technical analysis.,1.0
This e-mail and any files transmitted with it are confidential and intended solely for the individual or entity to whom they are addressed.,0.0
In response to your inquiry .,0.0
"Since I do not know my Badge# yet, I have left itblank.",0.0
The United States Department of transportation in,0.0
Click here to view the status of your order,0.0
San José City Hall - 12th Floor,0.0
Kindly forward your reply if you are interested via this email address,0.0
"If you are interested in this position, please complete the supplemental questionnaire and submit resume to Michelle Harrison at:",0.0
We have received your service request and issued an authorization number for:,0.0
"I have the tax documents I need, so I can now file the hardship papers.",0.0
"After you saw it, you said we were good on this.",0.0
Can you call us back asap with the payment.,1.0
J. Edgar Hoover Building,0.0
Subject: [EXTERNAL] RE: ConferenceDirect Invoices Due,1.0
Inasra Technologies Pvt Ltd,0.0
The following payment has been remitted.,1.0
"Frankly speaking, I understand that anyone in your shoes will feel betrayed, but I still want you to trust my office and believe that we will get your approved payment to you if you cooperate with us.",1.0
"Once again, I apologize for this mistake and will do my best to avoid repeating it in the future.",0.0
to hear from you and ASAP.,0.0
It has been two weeks since I emailed you the requested copies of the original check with stub and the envelope.,0.0
"Lexington, KY 40507 USA",0.0
equally if you accept to work with me. I will share more details,0.0
The company accepts no liability for any damage caused by any virus transmitted by this email.,0.0
"Eleven years ago, in July 2008, I spoke with both Rhonda Snyder and more extensively with Corina Fernandez in the Retirement.Services Department at that time.",0.0
I have included my supervisor to this email incase you have any questions.,0.0
Riches is not what you have but that is what you give out.,0.0
This will help determine how much longer I need to wait for the refund.,1.0
"To: Trinh, Anh <",0.0
safely upon my arrival in your country.,0.0
I do hope to read from you as soon as you get this.,0.0
This is your receipt from PanIQ Room.,0.0
Please do not respond to this e - mail,0.0
"The investor would get a rolodex of 26,000 emails of all the major investors in the world.",1.0
Orphan and I don't have anybody as my,0.0
"If you change your email and still don’t see the discount applied, please give us a call and we can apply it manually.",1.0
"Friday, May 3, 2019 2:27 PM",0.0
this type are called in by the monetary regulatory bodies if nobody,1.0
"Furthermore, should there be any change of address do inform our agent as soon as possible.",0.0
to help me at this point.,0.0
I have no idea where the previous email came from as I have never used it.,0.0
Sent from my secret laboratory,0.0
"Friday, September 22, 2017 12:20 PM",0.0
"5.5 Million GBP on the Beneficiaries List, and saw your email",1.0
This way you will no longer fall into a similar situation.,0.0
"As discussed, I am sending you the media related to the suspicious person report I called about, possibly related to the robbery on Corvallis Dr.",0.0
I am from Honolulu International Airport (HIA).,0.0
Attached herewith my resume and answers to the job specific questionsfor the position Senior Account Clerk - Department of Finance.,0.0
Monthly Maintenance for June 2019.Please remit payment at your earliest convenience or contact us if you have any questions or need additional information.,1.0
This email address was given to us by you or by one of our customers.,0.0
Plant 1 15 gallon tree(s) with standard staking,0.0
"If you have received this message in error, notify the sender via reply email and delete the original message.",0.0
Your Payment receipt - for 860.00 is attached.,1.0
"Monday, October 17, 2016 at 14:04",0.0
The First-Class postage rate of $ 0.459 per piece up to 3.5 oz will be applied.,1.0
Submission deadline for San Jose Police Activities League's 10/18/2019 pay date is 10/16/2019 10:00a.,1.0
Your payment of $959.78 is due by 12/15/2019.,1.0
Create docs with free Office...,0.0
Messaging & data charges may apply for download and usage.,0.0
"If you allow me to add your name to the policy, all revenue will be processed on your behalf and immediately transferred to your account in your country.",1.0
Your transaction has been processed successfully,1.0
"I 'm currently out of cell service , proceed with the transfer approval and Kindly",1.0
which transfer has remained unsuccessful.,1.0
I'm 68 years old woman.,0.0
1270 S. Winchester Blvd.,0.0
Please provide all the information requested to ensure prompt processing of your application.,0.0
Below are a few modifications we have made to help us streamline the Scholarship program:,0.0
Thank you for reaching out to us.,0.0
Please click on the attached link to change your User ID and Password.,0.0
Can you get it from any store around you?,0.0
foreigner to claim the money through my advice and we will share it,1.0
honest and God fearing family that can use these funds for the work of,1.0
Comcast Business Online Account,0.0
Thank you in advance for your attention.,0.0
management of FACEBOOK INC to process your claim,1.0
Vehicle : white Dodge Ram 1500 Truck,0.0
2) Enter and confirm your new password.,0.0
"Meu nome é Emmanuel, tenho algo para discutir com você, responda imediatamente para a explicação",0.0
My apologies for any inconvenience my request may cause.,0.0
first we have to get a trusted person to assist us in moving some,0.0
for the Board of Trustees to assign trained Fund Transfer,1.0
Use Apple Pay to send and receive money.,1.0
"Geo Hospital, Quebec Canada",0.0
Update Employee Count/Unit Count/Sq.,0.0
"If interested, reply me for the full details",0.0
A message from Jess of Amazon Customer Service,0.0
Believe it turned out very high quality!,0.0
Un video instructivo está disponible en ParentConnectPortal.,0.0
"Can you let me know when this is done please, I am missing out on working.",0.0
We look forward to hear from you,0.0
I want you to know that my contact to you is of a divine direction which i do not mean any harm to you.,0.0
Total amount outstanding is $467.55,1.0
"If so, please give an example of a time when you were faced with multiple deadlines/tasks and limited time to complete the required tasks.",0.0
independent Feasibility/Project Management Consultant to oil refineries and other oil industries in,0.0
Please let us know your take on it and advise your approval/disapproval that we publish it to our website and use in other promotional social media.,0.0
reply me on the email below if you will help carry out my last wish,0.0
Thank you for your business,0.0
We hope to see you again soon!,0.0
My purpose of writing you this mail is in regards to my investment plan.,1.0
options on how to contact us.,0.0
This is based on my wish for charity as i have decided to WILL my funds to you and my Attorney has been notified.,1.0
AT&T Pay Bill Reminder,1.0
"On 12/6/17, 18:06, ""Doug Cofer"" <",0.0
". All rights reserved. AT&T, the AT&T logo and all other AT&T marks contained herein are trademarks of AT&T Intellectual Property and/or AT&T affiliated companies. All other marks contained herein are the property of their respective owners.",0.0
I can have payment instructions forwarded to you once,1.0
: Do you want to know what our clients are saying about us?,0.0
"If so, please describe the variety of customers you have worked with and describe your best approach when dealing with customers.",0.0
"On 6/8/18, 13:45, ""alicia.gunderson@ubs.com"" <alicia.gunderson@ubs.com> wrote:",0.0
Can you please fill-out the payment form and fax it back to me at your earliest convenience.,1.0
"To this effect, the sum of TEN MILLION, SEVEN HUNDRED THOUSAND UNITED STATES DOLLARS (US$10.7m) has been approved for you.",1.0
Once the registration process is complete you are able to change your e-mail in the system.,0.0
Please use the buttons below to vote about your experience today.,0.0
We have a building that requires a survey and planning.,0.0
INTERPOL OF LONDON'S LAISON OFFICE right here in US.,0.0
😁 😁: Do you want to know what our clients are saying about us?,0.0
Subject: Your return of Sony SRS-XB12 Extra Bass...,0.0
you have lost a lot of money all because you want to receive your fund,1.0
